Gene1,Gene2,Confidence Score,Origin
AAEL000152,AAEL009737,0.957,worm/fly
AAEL002337,AAEL001103,0.957,yeast
AAEL000118,AAEL009887,0.957,yeast
AAEL004232,AAEL009383,0.957,yeast
AAEL004475,AAEL007546,0.957,yeast
AAEL010371,AAEL002970,0.957,yeast/fly
AAEL012809,AAEL003193,0.956,fly
AAEL013683,AAEL003634,0.956,fly
AAEL000001,AAEL007521,0.956,yeast
AAEL008822,AAEL012326,0.955,fly
AAEL013818,AAEL010013,0.955,yeast
AAEL011650,AAEL005364,0.955,yeast
AAEL005580,AAEL012545,0.954,fly
AAEL009021,AAEL003193,0.954,fly
AAEL005610,AAEL010823,0.954,yeast
AAEL013903,AAEL012843,0.954,yeast
AAEL002216,AAEL007153,0.954,yeast
AAEL001273,AAEL001516,0.954,yeast
AAEL005356,AAEL013869,0.954,yeast
AAEL013903,AAEL013064,0.954,yeast
AAEL000394,AAEL013818,0.954,yeast/worm
AAEL003271,AAEL014214,0.953,fly
AAEL014869,AAEL007568,0.953,yeast/fly
AAEL012284,AAEL007568,0.953,yeast/fly
AAEL008958,AAEL009056,0.952,fly
AAEL013723,AAEL000733,0.952,fly
AAEL004862,AAEL009969,0.952,fly
AAEL011643,AAEL012877,0.952,worm/fly
AAEL012904,AAEL009317,0.952,yeast
AAEL001709,AAEL000983,0.952,yeast/fly
AAEL010442,AAEL000897,0.951,fly
AAEL007236,AAEL011180,0.951,fly
AAEL012556,AAEL002761,0.95,fly
AAEL013679,AAEL011739,0.95,fly
AAEL004182,AAEL002139,0.95,fly
AAEL014722,AAEL011739,0.95,fly
AAEL004995,AAEL004995,0.95,fly
AAEL015560,AAEL012466,0.95,worm
AAEL013341,AAEL013341,0.95,worm/fly
AAEL001484,AAEL014529,0.95,yeast
AAEL012675,AAEL011568,0.949,fly
AAEL008183,AAEL011429,0.949,fly
AAEL002701,AAEL007370,0.949,fly
AAEL012612,AAEL010450,0.949,fly
AAEL015336,AAEL014934,0.949,fly
AAEL005617,AAEL005617,0.949,worm/fly
AAEL010080,AAEL011358,0.949,yeast
AAEL005564,AAEL000262,0.949,yeast/fly
AAEL003431,AAEL006174,0.949,yeast/worm
AAEL003744,AAEL014508,0.948,yeast
AAEL005356,AAEL007904,0.948,yeast
AAEL009602,AAEL012275,0.947,fly
AAEL002161,AAEL009388,0.947,fly
AAEL000832,AAEL009887,0.947,yeast
AAEL012514,AAEL005825,0.947,yeast/fly
AAEL010458,AAEL008763,0.947,yeast/fly
AAEL005858,AAEL013690,0.947,yeast/worm
AAEL009635,AAEL011814,0.946,fly
AAEL007917,AAEL011220,0.946,fly
AAEL014746,AAEL001677,0.946,fly
AAEL014746,AAEL001683,0.946,fly
AAEL007469,AAEL011596,0.946,worm/fly
AAEL000118,AAEL005356,0.946,yeast
AAEL002304,AAEL002304,0.945,fly
AAEL006363,AAEL004178,0.945,fly
AAEL004493,AAEL012143,0.945,fly
AAEL001156,AAEL009149,0.945,fly
AAEL001119,AAEL004673,0.945,fly
AAEL002092,AAEL008686,0.945,fly
AAEL007647,AAEL012250,0.945,yeast
AAEL003975,AAEL007573,0.945,yeast
AAEL010885,AAEL008443,0.945,yeast
AAEL014178,AAEL012669,0.945,yeast
